Attack Type,Samples,Isolation_Forest,One_Class_SVM,Local_Outlier_Factor
DoS Hulk,172846,0.8853083091306713,0.8995753445263414,0.9338833412401791
DDoS,128014,0.6172606121205493,0.6358445170059525,0.9595044292030559
PortScan,90694,0.0028337045449533596,0.015392418462081284,0.6661300637307871
DoS GoldenEye,10286,0.581275520124441,0.7287575345129302,0.6804394322379934
FTP-Patator,5931,0.0,0.0010116337885685382,0.3802056988703423
DoS slowloris,5385,0.5901578458681522,0.6155988857938719,0.704363974001857
DoS Slowhttptest,5228,0.8014537107880643,0.9154552410099465,0.23622800306044375
SSH-Patator,3219,0.0,0.0009319664492078285,0.9919229574401989
Bot,1948,0.022587268993839837,0.033880903490759756,0.028747433264887063
Web Attack - Brute Force,1470,0.04965986394557823,0.050340136054421766,0.1292517006802721
Web Attack - XSS,652,0.024539877300613498,0.029141104294478526,0.07668711656441718
Infiltration,36,0.8611111111111112,0.8055555555555556,0.7222222222222222
Web Attack - Sql Injection,21,0.0,0.047619047619047616,0.7619047619047619
Heartbleed,11,1.0,1.0,1.0
